Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,10003.59,120043.08,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),RDS for MySQL,Amazon RDS for MySQL,0,1779.9199999999998,21359.04,USD,,"Storage for each RDS instance (General Purpose SSD (gp3)), Storage amount (1 TB), Quantity (2), Instance type (db.m4.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (1 TB), Total Size of Backup Processed for Export (GB) (1000 per month), Cost for one month of retention (per vCPU per month) (1.5000000000), Cost for total retention (per vCPU per month) (1.50), General Purpose SSD (gp3) - IOPS (12000), General Purpose SSD (gp3) - Throughput (1000 MiBps)"
My Estimate,US East (N. Virginia),Amazon EC2 Web,Amazon EC2 ,0,1725.9440000000002,20711.33,USD,,"Tenancy (Dedicated Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (t3.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), DT Inbound: Internet (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),Amazon EC2 Application,Amazon EC2 ,0,271.2,3254.40,USD,,"Tenancy (Dedicated Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (c5.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),Application Load Balancer,Application Load Balancer,0,2952.85,35434.20,USD,,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),CloudFront,Amazon CloudFront,0,105.05,1260.60,USD,,"Data transfer out to internet (1000 GB per month), Data transfer out to origin (1000 GB per month), Number of requests (HTTPS) (50000 per month)"
My Estimate,US East (N. Virginia),Route 53,Amazon Route 53,0,1731,20772.00,USD,,"Hosted Zones (2), Number of Elastic Network Interfaces (8), Number of domains stored (1)"
My Estimate,US East (N. Virginia),S3,S3 Standard,0,115,1380.00,USD,,S3 Standard storage (5000 GB per month)
My Estimate,US East (N. Virginia),VPC,Network Address Translation (NAT) Gateway,0,77.85,934.20,USD,,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),VPC,Gateway Load Balancer,0,1244.78,14937.36,USD,,"Number of Availability Zones that Gateway Load Balancer is deployed to (2), Number of Gateway Load Balancer Endpoints (1), Total processed bytes (1 GB per hour), Average number of new connections/flows (25000 per second), Average connection/flow duration (1000 seconds)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
